2026/09/02 17:25:33.231, 0, 46068, 0
2026/09/02 17:25:34.255, 1, 46068, 0
2026/09/02 17:25:35.332, 3, 46068, 0
2026/09/02 17:25:36.352, 3, 46068, 0
2026/09/02 17:25:37.372, 3, 46068, 0
2026/09/02 17:25:38.392, 3, 46068, 0
2026/09/02 17:25:39.413, 3, 46068, 0
2026/09/02 17:25:40.433, 3, 46068, 0
2026/09/02 17:25:41.455, 3, 46068, 0
2026/09/02 17:25:42.475, 3, 46068, 0
2026/09/02 17:25:43.496, 3, 46068, 0
2026/09/02 17:25:44.516, 3, 46068, 0
2026/09/02 17:25:45.536, 455, 46068, 2
2026/09/02 17:25:46.557, 459, 46068, 0
2026/09/02 17:25:47.577, 2913, 46068, 8
2026/09/02 17:25:48.598, 8025, 46068, 22
2026/09/02 17:25:49.621, 14439, 46068, 27
2026/09/02 17:25:50.642, 21013, 46068, 28
2026/09/02 17:25:51.661, 23657, 46068, 0
2026/09/02 17:25:52.687, 23661, 46068, 1
2026/09/02 17:25:53.715, 1363, 46068, 100
2026/09/02 17:25:54.739, 4293, 46068, 24
2026/09/02 17:25:55.760, 5765, 46068, 0
2026/09/02 17:25:56.783, 8713, 46068, 0
2026/09/02 17:25:57.806, 1737, 46068, 57
2026/09/02 17:25:58.830, 945, 46068, 0
2026/09/02 17:25:59.851, 2965, 46068, 7
2026/09/02 17:26:00.871, 5411, 46068, 11
2026/09/02 17:26:01.892, 7499, 46068, 5
2026/09/02 17:26:02.913, 9511, 46068, 5
2026/09/02 17:26:03.937, 11163, 46068, 9
2026/09/02 17:26:04.962, 13577, 46068, 5
2026/09/02 17:26:05.986, 16709, 46068, 11
2026/09/02 17:26:07.007, 19185, 46068, 9
2026/09/02 17:26:08.028, 22589, 46068, 14
2026/09/02 17:26:09.050, 26397, 46068, 10
2026/09/02 17:26:10.071, 29445, 46068, 7
2026/09/02 17:26:11.092, 31975, 46068, 6
2026/09/02 17:26:12.112, 35021, 46068, 7
2026/09/02 17:26:13.133, 40561, 46068, 25
2026/09/02 17:26:14.153, 42609, 46068, 0
2026/09/02 17:26:15.173, 42611, 46068, 0
2026/09/02 17:26:16.194, 42997, 46068, 100
2026/09/02 17:26:17.218, 42997, 46068, 100
2026/09/02 17:26:18.242, 42997, 46068, 100
2026/09/02 17:26:19.265, 42997, 46068, 100
2026/09/02 17:26:20.288, 42997, 46068, 100
2026/09/02 17:26:21.311, 42997, 46068, 100
2026/09/02 17:26:22.335, 42997, 46068, 98
2026/09/02 17:26:23.358, 42997, 46068, 100
2026/09/02 17:26:24.382, 42997, 46068, 100
2026/09/02 17:26:25.408, 42997, 46068, 100
2026/09/02 17:26:26.432, 42997, 46068, 100
2026/09/02 17:26:27.454, 1069, 46068, 100
2026/09/02 17:26:28.474, 2581, 46068, 51
2026/09/02 17:26:29.494, 987, 46068, 1
2026/09/02 17:26:30.513, 6615, 46068, 24
2026/09/02 17:26:31.533, 13207, 46068, 29
2026/09/02 17:26:32.553, 19969, 46068, 25
2026/09/02 17:26:33.573, 26419, 46068, 27
2026/09/02 17:26:34.593, 32513, 46068, 24
2026/09/02 17:26:35.614, 35561, 46068, 6
2026/09/02 17:26:36.634, 39813, 46068, 18
2026/09/02 17:26:37.655, 44743, 46068, 26
2026/09/02 17:26:38.680, 44877, 46068, 100
2026/09/02 17:26:39.701, 44877, 46068, 100
2026/09/02 17:26:40.725, 44877, 46068, 100
2026/09/02 17:26:41.747, 44877, 46068, 100
2026/09/02 17:26:42.768, 44877, 46068, 100
