2026/08/31 16:07:48.401, 0, 97887, 0
2026/08/31 16:07:49.420, 3, 97887, 0
2026/08/31 16:07:50.439, 3, 97887, 0
2026/08/31 16:07:51.460, 3, 97887, 0
2026/08/31 16:07:52.482, 3, 97887, 0
2026/08/31 16:07:53.513, 22, 97887, 0
2026/08/31 16:07:54.534, 6427, 97887, 17
2026/08/31 16:07:55.554, 18755, 97887, 18
2026/08/31 16:07:56.574, 24347, 97887, 10
2026/08/31 16:07:57.595, 5243, 97887, 12
2026/08/31 16:07:58.615, 8933, 97887, 15
2026/08/31 16:07:59.634, 2013, 97887, 21
2026/08/31 16:08:00.653, 16395, 97887, 30
2026/08/31 16:08:01.673, 31565, 97887, 31
2026/08/31 16:08:02.695, 42065, 97887, 7
2026/08/31 16:08:03.715, 43219, 97887, 99
2026/08/31 16:08:04.739, 43221, 97887, 99
2026/08/31 16:08:05.761, 43221, 97887, 99
2026/08/31 16:08:06.783, 43221, 97887, 99
2026/08/31 16:08:07.807, 43221, 97887, 98
2026/08/31 16:08:08.830, 43221, 97887, 99
2026/08/31 16:08:09.853, 2297, 97887, 20
2026/08/31 16:08:10.873, 1211, 97887, 1
2026/08/31 16:08:11.893, 15199, 97887, 27
2026/08/31 16:08:12.913, 30305, 97887, 33
2026/08/31 16:08:13.933, 42067, 97887, 12
2026/08/31 16:08:14.954, 48405, 97887, 100
2026/08/31 16:08:15.977, 48405, 97887, 100
2026/08/31 16:08:17.000, 48405, 97887, 100
2026/08/31 16:08:18.024, 48405, 97887, 100
2026/08/31 16:08:19.047, 48405, 97887, 100
2026/08/31 16:08:20.070, 48405, 97887, 100
2026/08/31 16:08:21.093, 48405, 97887, 100
2026/08/31 16:08:22.114, 48405, 97887, 100
2026/08/31 16:08:23.137, 48405, 97887, 100
2026/08/31 16:08:24.159, 48405, 97887, 100
2026/08/31 16:08:25.184, 48405, 97887, 100
2026/08/31 16:08:26.205, 48405, 97887, 0
2026/08/31 16:08:27.225, 2213, 97887, 33
2026/08/31 16:08:28.246, 31535, 97887, 100
2026/08/31 16:08:29.279, 31535, 97887, 100
2026/08/31 16:08:30.306, 31535, 97887, 100
2026/08/31 16:08:31.335, 31535, 97887, 100
2026/08/31 16:08:32.363, 31535, 97887, 100
2026/08/31 16:08:33.394, 31535, 97887, 100
2026/08/31 16:08:34.419, 31535, 97887, 100
2026/08/31 16:08:35.443, 31535, 97887, 100
2026/08/31 16:08:36.478, 31535, 97887, 100
2026/08/31 16:08:37.508, 31535, 97887, 100
2026/08/31 16:08:38.532, 31535, 97887, 100
2026/08/31 16:08:39.561, 31535, 97887, 100
2026/08/31 16:08:40.583, 31535, 97887, 99
2026/08/31 16:08:41.606, 2853, 97887, 0
2026/08/31 16:08:42.625, 2853, 97887, 0
